year,population,gdp,primary_energy_consumption,oil_co2,coal_co2,cement_co2,temperature_change_from_ghg,co2
1978,17506978,85103919104,113.361,13.165,0.572,1.321,0.002,62.455
1979,18036655,92753895424,148.54,15.359,0.894,1.841,0.002,45.546
1980,18607175,94481645568,177.143,18.62,1.608,2.022,0.002,66.416
1981,19220708,96860520448,215.186,18.157,1.909,2.165,0.002,46.342
1982,19872354,103073660928,248.112,18.642,1.975,2.126,0.002,39.173
1983,20558121,108430385152,270.967,22.022,3.148,2.318,0.002,52.504
1984,21271969,114406670336,260.196,22.768,4.027,2.661,0.002,70.947
1985,22008541,120364212224,262.297,22.504,3.078,2.92,0.003,72.609
1986,22745500,119145037824,277.491,22.761,2.726,3.083,0.003,76.08
1987,23443628,118321217536,285.168,25.091,2.968,3.591,0.003,83.883
1988,24109537,115821715456,305.422,27.285,2.975,3.415,0.003,83.708
1989,24754488,119762427904,297.068,25.153,2.986,3.223,0.003,79.808
1990,25375816,117843181568,314.974,23.204,2.942,2.989,0.003,76.738
1991,25987937,121105145856,312.095,26.066,2.689,2.969,0.003,78.807
1992,26628568,127982690304,320.227,28.678,2.378,2.998,0.003,79.883
1993,27277040,130275778560,297.995,27.993,1.924,2.988,0.004,81.944
1994,27887276,134279856128,301.921,30.45,2.286,2.821,0.004,88.608
1995,28470194,145054662656,313.145,27.081,1.935,3.165,0.004,96.777
1996,29033045,156579119104,309.925,27.407,1.407,3.006,0.004,100.039
1997,29579300,164644454400,297.86,30.019,1.381,3.271,0.004,88.369
1998,30054135,179962888192,308.349,33.09,2.11,3.446,0.004,106.537
1999,30474359,193179779072,311.434,22.188,2.173,3.435,0.004,91.449
2000,30903895,208554147840,299.946,26.828,1.96,3.789,0.004,85.399
2001,31331226,223420284928,310.813,28.458,2.096,3.766,0.004,86.839
2002,31750833,245360918528,321.951,29.495,2.609,4.058,0.005,90.692
2003,32175813,273568645120,336.922,31.943,2.788,4.032,0.005,94.581
2004,32628286,296773582848,349.778,32.818,1.924,4.897,0.005,91.714
2005,33109258,326854475776,366.272,31.052,2.363,5.662,0.005,110.993
2006,33623505,345705316352,379.22,35.233,2.7,6.54,0.005,105.896
2007,34189420,371665272832,399.64,38.322,3.012,7.001,0.005,109.889
2008,34816962,395658526720,423.557,37.363,3.008,7.583,0.005,111.087
2009,35490443,418247704576,448.859,44.891,1.594,8.22,0.005,118.856
2010,36188236,450705784832,438.995,45.365,1.216,8.252,0.005,118.353
2011,36903375,482028650496,464.488,46.92,1.048,8.187,0.005,125.095
2012,37646164,498417631232,507.672,48.539,1.037,7.697,0.006,135.674
2013,38414176,512373325824,536.977,51.919,0.725,7.298,0.006,140.786
2014,39205035,531843514368,585.613,52.885,0.546,7.668,0.006,151.283
2015,40019528,551521746944,617.518,55.59,0.502,8.062,0.006,160.087
2016,40850720,569170395136,616.996,54.627,0,9.105,0.006,158.482
2017,41689304,577138786304,623.795,55.323,0.865,10.084,0.006,165.174
2018,42505033,584064434176,669.62,56.233,1.451,9.746,0.006,172.705
2019,43294550,589905133568,694.349,59.637,1.198,10.1,0.006,179.907
2020,44042093,559819915264,648.899,54.125,0.542,8.958,0.006,168.178
2021,44761101,578853797888,707.627,57.343,1.107,9.555,0.006,179.596
2022,45477391,595820019712,734.191,57.407,0.775,9.555,0.007,184.558
2023,46164221,595820019712,705.003,59.966,0.689,9.555,0.007,178.133
1950,6018,6905244160,17.105,0.407,0,0,0,0.407
1951,5843,6905244160,17.105,0.407,0,0,0,0.407
1952,5474,6905244160,17.105,0.407,0,0,0,0.407
1953,5346,6905244160,17.105,0.407,0,0,0,0.407
1954,5623,6905244160,17.105,0.407,0,0,0,0.407
1955,6187,6905244160,17.105,0.407,0,0,0,0.407
1956,6788,6905244160,17.105,0.407,0,0,0,0.407
1957,7420,6905244160,17.105,0.407,0,0,0,0.407
1958,8090,6905244160,17.105,0.407,0,0,0,0.407
1959,8794,6905244160,17.105,0.407,0,0,0,0.407
1960,9532,6905244160,17.105,0.407,0,0,0,0.407
1961,10307,6905244160,17.105,0.407,0,0,0,0.407
1962,11107,6905244160,17.105,0.407,0,0,0,0.407
1963,11936,6905244160,17.105,0.407,0,0,0,0.407
1964,12786,6905244160,17.105,0.407,0,0,0,0.407
1965,13655,6905244160,17.105,0.407,0,0,0,0.407
1966,14649,6905244160,17.105,0.407,0,0,0,0.407
1967,15860,6905244160,17.105,0.407,0,0,0,0.407
1968,17200,6905244160,17.105,0.407,0,0,0,0.407
1969,18580,6905244160,17.105,0.407,0,0,0,0.407
1970,19998,6905244160,17.105,0.407,0,0,0,0.407
1971,21466,6905244160,17.105,0.407,0,0,0,0.407
1972,22977,6905244160,17.105,0.407,0,0,0,0.407
1973,24542,6905244160,17.105,0.407,0,0,0,0.407
1974,26153,6905244160,17.105,0.407,0,0,0,0.407
1975,27799,6905244160,17.105,0.407,0,0,0,0.407
1976,29457,6905244160,17.105,0.407,0,0,0,0.407
1977,31125,6905244160,17.105,0.407,0,0,0,0.407
1978,32757,6905244160,17.105,0.407,0,0,0,0.407
1979,34326,6905244160,17.105,0.407,0,0,0,0.407
1980,35802,6905244160,17.105,0.407,0,0,0,0.407
1981,37194,6905244160,17.105,0.407,0,0,0,0.407
1982,38785,6905244160,17.105,0.407,0,0,0,0.407
1983,40586,6905244160,17.105,0.407,0,0,0,0.407
1984,42291,6905244160,17.105,0.407,0,0,0,0.407
1985,43847,6905244160,17.105,0.407,0,0,0,0.407
1986,45758,6905244160,17.105,0.407,0,0,0,0.407
1987,47676,6905244160,17.105,0.407,0,0,0,0.407
1988,49439,6905244160,17.105,0.407,0,0,0,0.407
1989,50638,6905244160,17.105,0.407,0,0,0,0.407
1990,52616,6905244160,17.105,0.407,0,0,0,0.407
1991,56692,6905244160,17.105,0.407,0,0,0,0.407
1992,60216,6905244160,17.105,0.407,0,0,0,0.407
1993,63293,6905244160,17.105,0.41,0,0,0,0.41
1994,64630,6905244160,17.105,0.407,0,0,0,0.407
1995,63935,6905244160,17.105,0.425,0,0,0,0.425
1996,64008,6905244160,17.105,0.454,0,0,0,0.454
1997,64721,6905244160,17.105,0.465,0,0,0,0.465
1998,65399,6905244160,17.105,0.491,0,0,0,0.491
1999,65732,6905244160,17.105,0.513,0,0,0,0.513
2000,65703,6905244160,17.105,0.524,0,0,0,0.524
2001,65874,6905244160,17.105,0.524,0,0,0,0.524
2002,66528,6905244160,17.105,0.531,0,0,0,0.531
2003,69507,6905244160,17.105,0.535,0,0,0,0.535
2004,74342,6905244160,17.105,0.561,0,0,0,0.561
2005,77436,6905244160,17.105,0.575,0,0,0,0.575
2006,79609,6905244160,17.105,0.546,0,0,0,0.546
2007,81900,6905244160,17.105,0.539,0,0,0,0.539
2008,83513,6905244160,17.105,0.539,0,0,0,0.539
2009,83908,6905244160,17.105,0.517,0,0,0,0.517
2010,80726,6905244160,17.105,0.517,0,0,0,0.517
2011,77801,6905244160,17.105,0.491,0,0,0,0.491
2012,76858,6905244160,17.105,0.487,0,0,0,0.487
2013,75220,6905244160,17.105,0.476,0,0,0,0.476
2014,73755,6905244160,17.105,0.462,0,0,0,0.462
2015,72194,6905244160,17.105,0.465,0,0,0,0.465
2016,72197,6905244160,17.105,0.469,0,0,0,0.469
2017,73781,6905244160,17.105,0.465,0,0,0,0.469
2018,75182,6905244160,17.105,0.495,0,0,0,0.498
2019,76491,6905244160,17.105,0.487,0,0,0,0.491
2020,77398,6905244160,17.105,0.377,0,0,0,0.381
2021,78375,6905244160,17.105,0.403,0,0,0,0.41
2022,79722,6905244160,17.105,0.412,0,0,0,0.42
2023,80868,6905244160,17.105,0.416,0,0,0,0.424
1950,4551869,6905244160,17.105,0.127,0.06,0,0.001,0.187
1951,4602567,7156858368,17.105,0.154,0.095,0,0.001,0.249
1952,4651693,7427326976,17.105,0.191,0.121,0,0.001,0.311
